Time,Displacement,Force
(s),(mm),(N)
0,0,0.1182
1,0.0306,8.0653
2,0.0639,16.2062
3,0.0973,24.2569
4,0.1306,32.1704
5,0.1639,39.8517
6,0.1971,47.0251
7,0.2305,54.3423
8,0.2638,58.5136
9,0.2971,58.6567
10,0.3305,58.7354
11,0.3639,58.7224
12,0.3973,58.6026
13,0.4306,58.7933
14,0.4639,59.2049
15,0.4971,59.35
16,0.5306,59.3108
17,0.5639,59.6028
18,0.5972,61.6174
19,0.6307,68.542
20,0.6639,75.7727
21,0.6973,82.8436
22,0.7307,89.9232
23,0.764,96.8326
24,0.7974,103.5944
25,0.8306,110.3799
26,0.8639,116.888
27,0.8974,123.4428
28,0.9307,129.7127
29,0.9639,136.0468
30,0.9973,142.2591
31,1.0306,126.3515
32,1.0639,95.5338
32.258,1.0726,13.8297
"Time	Displacement	Force",,
"(s)	(mm)	(N)",,
"0	0	0.4344",,
"1	0.0319	8.0762",,
"2	0.0652	15.8298",,
"3	0.0985	23.3924",,
"4	0.1319	30.9169",,
"5	0.1653	38.2109",,
"6	0.1984	45.2598",,
"7	0.2318	51.9709",,
"8	0.2652	58.4552",,
"9	0.2985	59.2679",,
"10	0.3319	59.5875",,
"11	0.3651	59.6632",,
"12	0.3985	59.5293",,
"13	0.4318	59.7501",,
"14	0.4651	59.6943",,
"15	0.4983	60.3623",,
"16	0.5318	60.4245",,
"17	0.5651	60.3906",,
"18	0.5985	60.6599",,
"19	0.632	62.5193",,
"20	0.6652	68.8352",,
"21	0.6985	75.7482",,
"22	0.7319	82.5416",,
"23	0.7652	89.3506",,
"24	0.7987	96.1283",,
"25	0.8318	102.5331",,
"26	0.8653	108.9525",,
"27	0.8987	115.2476",,
"28	0.932	121.2834",,
"29	0.9652	127.1388",,
"30	0.9985	133.0766",,
"31	1.0319	138.6465",,
"32	1.0652	144.2045",,
"33	1.0985	149.4978",,
"34	1.1318	154.6337",,
"35	1.1652	159.5778",,
"36	1.1984	164.4177",,
"37	1.2318	121.7606",,
"37.905	1.2621	16.4106",,
