"Time	Displacement	Force"
"(s)	(mm)	(N)"
"0	0	0.1074"
"1	0.0317	7.2189"
"2	0.0651	14.5606"
"3	0.0984	21.5555"
"4	0.1317	28.7484"
"5	0.1652	35.5841"
"6	0.1984	42.3117"
"7	0.2318	48.7973"
"8	0.2651	55.2176"
"9	0.2985	61.6199"
"10	0.3319	62.1084"
"11	0.3652	62.272"
"12	0.3985	62.2875"
"13	0.4319	62.599"
"14	0.4651	62.6393"
"15	0.4986	62.6559"
"16	0.532	63.0567"
"17	0.5652	63.0831"
"18	0.5986	63.1832"
"19	0.6319	65.5593"
"20	0.6652	71.2998"
"21	0.6986	77.5474"
"22	0.7318	83.9133"
"23	0.765	90.1174"
"24	0.7986	96.4522"
"25	0.8317	102.5166"
"26	0.8652	108.4089"
"27	0.8984	114.6192"
"28	0.9317	120.3082"
"29	0.9651	125.8553"
"30	0.9984	131.3989"
"31	1.0317	136.5895"
"32	1.0651	141.7008"
"33	1.0984	146.7962"
"34	1.1318	151.5019"
"35	1.1653	156.4799"
"36	1.1985	161.0454"
"37	1.2318	165.4694"
"38	1.2651	169.7068"
"39	1.2985	173.6513"
"40	1.3319	177.6582"
"41	1.3651	181.5901"
"42	1.3985	185.0191"
"43	1.432	188.6427"
"44	1.4652	191.5719"
"44.56	1.4839	18.8612"
