Sample	Time	Encoder 1 Pos	Encoder 2 Pos	Control Effort
1	0.001	-10	-1	0
2	0.002	-10	-1	0
3	0.003	-10	-1	0
4	0.004	-10	-1	0
5	0.005	-10	-1	0
6	0.006	-10	-1	0
7	0.007	-10	-1	0
8	0.009	-10	-1	0
9	0.01	-10	-1	0
10	0.011	-10	-1	0
11	0.012	-10	-1	0
12	0.013	-10	-1	0
13	0.014	-10	-1	0
14	0.015	-10	-1	0
15	0.016	-10	-1	0
16	0.018	-10	-1	0
17	0.019	-10	-1	0
18	0.02	-10	-1	0
19	0.021	-10	-1	0
20	0.022	-10	-1	0
21	0.023	-10	-1	0
22	0.024	-10	-1	0
23	0.025	-10	-1	0
24	0.027	-10	-1	0
25	0.028	-10	-1	0
26	0.029	-10	-1	0
27	0.03	-10	-1	0
28	0.031	-10	-1	0
29	0.032	-10	-1	0
30	0.033	-10	-1	0
31	0.034	-10	-1	0
32	0.036	-10	-1	0
33	0.037	-10	-1	0
34	0.038	-10	-1	0
35	0.039	-10	-1	0
36	0.04	-10	-1	0
37	0.041	-10	-1	0
38	0.042	-10	-1	0
39	0.044	-10	-1	0
40	0.045	-10	-1	0
41	0.046	-10	-1	0
42	0.047	-10	-1	0
43	0.048	-10	-1	0
44	0.049	-10	-1	0
45	0.05	-10	-1	0
46	0.051	-10	-1	0
47	0.053	-10	-1	0
48	0.054	-10	-1	0
49	0.055	-10	-1	0
50	0.056	-10	-1	0
51	0.057	-10	-1	0
52	0.058	-10	-1	0
53	0.059	-10	-1	0
54	0.06	-10	-1	0
55	0.062	-10	-1	0
56	0.063	-10	-1	0
57	0.064	-10	-1	0
58	0.065	-10	-1	0
59	0.066	-10	-1	0
60	0.067	-10	-1	0
61	0.068	-10	-1	0
62	0.069	-10	-1	0
63	0.071	-10	-1	0
64	0.072	-10	-1	0
65	0.073	-10	-1	0
66	0.074	-10	-1	0
67	0.075	-10	-1	0
68	0.076	-10	-1	0
69	0.077	-10	-1	0
70	0.078	-10	-1	0
71	0.08	-10	-1	0
72	0.081	-10	-1	0
73	0.082	-10	-1	0
74	0.083	-10	-2	0
75	0.084	-10	-2	0
76	0.085	-10	-2	0
77	0.086	-10	-2	0
78	0.088	-10	-2	0
79	0.089	-10	-2	0
80	0.09	-10	-2	0
81	0.091	-10	-2	0
82	0.092	-10	-2	0
83	0.093	-10	-2	0
84	0.094	-10	-2	0
85	0.095	-10	-2	0
86	0.097	-10	-2	0
87	0.098	-10	-2	0
88	0.099	-10	-2	0
89	0.1	-10	-2	0
90	0.101	-10	-2	0
91	0.102	-10	-2	0
92	0.103	-10	-2	0
93	0.104	-10	-2	0
94	0.106	-10	-2	0
95	0.107	-10	-2	0
96	0.108	-10	-2	0
97	0.109	-10	-2	0
98	0.11	-10	-2	0
99	0.111	-10	-2	0
100	0.112	-10	-2	0
101	0.113	-10	-2	0
102	0.115	-10	-2	0
103	0.116	-10	-2	0
104	0.117	-10	-2	0
105	0.118	-10	-2	0
106	0.119	-10	-2	0
107	0.12	-10	-2	0
108	0.121	-10	-2	0
109	0.122	-10	-2	0
110	0.124	-10	-2	0
