G.U.N.T. Geraetebau GmbH
WL440

Plate
FinTest2W20


Graph 1
t						Re		Nu	q		alpha	P		v		T1		T2		T3		T4		deltaT	L	
3/7/2025 10:10:36 AM	8480	176	1003	46.1	20.1	1.41	20.4	21.1	20.4	42.1	21.7	0.100
3/7/2025 10:10:40 AM	8601	176	1002	46.1	20.0	1.41	20.4	21.1	20.4	42.1	21.8	0.100
3/7/2025 10:10:35 AM	8662	176	1003	46.1	20.1	1.41	20.4	21.1	20.4	42.1	21.7	0.100
3/7/2025 10:10:39 AM	8662	176	1002	46.1	20.0	1.41	20.4	21.1	20.4	42.1	21.8	0.100
3/7/2025 10:10:37 AM	8663	176	1003	46.1	20.1	1.43	20.3	21.1	20.4	42.1	21.8	0.100
3/7/2025 10:10:41 AM	8723	176	1002	46.1	20.0	1.43	20.4	21.1	20.4	42.1	21.8	0.100
3/7/2025 10:10:42 AM	8784	176	1002	46.1	20.0	1.45	20.4	21.1	20.4	42.1	21.7	0.100
3/7/2025 10:10:38 AM	8784	176	1002	46.1	20.0	1.43	20.4	21.1	20.4	42.1	21.8	0.100
3/7/2025 10:10:45 AM	8846	173	986		45.3	19.7	1.45	20.3	21.1	20.4	42.1	21.8	0.100
3/7/2025 10:10:43 AM	8846	173	986		45.3	19.7	1.46	20.3	21.1	20.4	42.1	21.8	0.100
3/7/2025 10:10:44 AM	8968	173	986		45.3	19.7	1.48	20.3	21.1	20.4	42.1	21.8	0.100
3/7/2025 10:06:13 AM	NaN	NaN	NaN	NaN		20.0	1.45	20.3	21.0	20.3	41.6	21.4	0.100
